"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/1999","11,209.85","11,186.35","11,213.33","11,143.04","80.45M","0.21%"
"07/15/1999","11,186.42","11,149.37","11,217.76","11,149.37","83.29M","0.34%"
"07/14/1999","11,148.11","11,177.55","11,209.21","11,112.01","72.72M","-0.24%"
"07/13/1999","11,175.02","11,200.03","11,211.11","11,085.10","80.11M","-0.23%"
"07/12/1999","11,200.98","11,193.38","11,230.74","11,149.69","75.30M","0.07%"
"07/09/1999","11,193.70","11,125.63","11,194.33","11,124.04","88.43M","0.60%"
"07/08/1999","11,126.90","11,182.62","11,211.11","11,092.07","97.37M","-0.54%"
"07/07/1999","11,187.37","11,135.12","11,187.36","11,080.35","81.75M","0.47%"
"07/06/1999","11,135.13","11,137.47","11,236.76","11,104.10","78.11M","-0.04%"
"07/02/1999","11,139.25","11,065.15","11,139.56","11,058.82","65.82M","0.66%"
"07/01/1999","11,066.43","10,966.05","11,080.35","10,903.68","100.67M","0.87%"
"06/30/1999","10,970.81","10,813.89","11,003.41","10,731.45","125.38M","1.44%"
"06/29/1999","10,815.35","10,655.46","10,815.35","10,633.93","82.39M","1.50%"
"06/28/1999","10,655.15","10,555.88","10,692.51","10,555.88","71.64M","0.97%"
"06/25/1999","10,552.57","10,542.43","10,650.40","10,538.00","62.02M","0.17%"
"06/24/1999","10,534.84","10,666.86","10,666.86","10,471.20","78.75M","-1.24%"
"06/23/1999","10,666.87","10,721.63","10,725.12","10,616.84","68.71M","-0.51%"
"06/22/1999","10,721.64","10,815.98","10,815.98","10,708.65","67.37M","-0.87%"
"06/21/1999","10,815.99","10,854.75","10,880.25","10,755.83","74.69M","-0.36%"
"06/18/1999","10,855.56","10,847.64","10,888.49","10,811.55","110.99M","0.13%"
"06/17/1999","10,841.63","10,777.72","10,870.44","10,714.35","70.15M","0.53%"
"06/16/1999","10,784.96","10,598.54","10,800.47","10,598.22","86.49M","1.79%"
"06/15/1999","10,594.99","10,563.33","10,682.06","10,562.06","73.19M","0.30%"
"06/14/1999","10,563.33","10,490.83","10,606.39","10,486.71","67.04M","0.69%"
"06/11/1999","10,490.51","10,618.23","10,691.56","10,430.67","77.53M","-1.23%"
"06/10/1999","10,621.27","10,690.29","10,690.29","10,526.29","86.33M","-0.65%"
"06/09/1999","10,690.29","10,765.64","10,790.02","10,672.56","77.25M","-0.70%"
"06/08/1999","10,765.65","10,908.12","10,909.07","10,724.17","80.04M","-1.32%"
"06/07/1999","10,909.39","10,799.20","10,917.30","10,782.74","84.22M","1.01%"
"06/04/1999","10,799.84","10,661.79","10,799.84","10,659.58","87.58M","1.28%"
"06/03/1999","10,663.70","10,577.26","10,667.18","10,577.26","71.28M","0.81%"
"06/02/1999","10,577.90","10,594.89","10,627.60","10,464.55","79.17M","-0.17%"
"06/01/1999","10,596.26","10,561.01","10,597.52","10,409.14","84.67M","0.35%"
"05/28/1999","10,559.75","10,468.49","10,589.50","10,467.24","72.82M","0.89%"
"05/27/1999","10,466.93","10,701.28","10,701.28","10,434.26","98.02M","-2.20%"
"05/26/1999","10,702.16","10,530.89","10,721.33","10,518.70","97.20M","1.62%"
"05/25/1999","10,531.09","10,829.87","10,754.66","10,530.21","89.82M","-1.16%"
"05/24/1999","10,654.68","10,829.87","10,856.42","10,626.65","92.34M","-1.61%"
"05/21/1999","10,829.28","10,867.04","10,888.86","10,787.40","79.81M","-0.34%"
"05/20/1999","10,866.74","10,887.68","10,946.08","10,866.74","77.58M","-0.19%"
"05/19/1999","10,887.39","10,836.67","10,891.81","10,797.13","83.78M","0.47%"
"05/18/1999","10,836.95","10,849.79","10,930.75","10,740.80","95.79M","-0.15%"
"05/17/1999","10,853.47","10,910.57","10,910.57","10,745.80","78.88M","-0.55%"
"05/14/1999","10,913.32","11,105.90","11,106.76","10,870.08","88.15M","-1.75%"
"05/13/1999","11,107.19","10,998.43","11,130.67","10,998.43","86.56M","0.97%"
"05/12/1999","11,000.37","11,023.61","11,043.61","10,812.81","93.55M","-0.23%"
"05/11/1999","11,026.14","11,001.23","11,102.32","10,970.59","95.28M","0.17%"
"05/10/1999","11,007.24","11,029.14","11,100.60","10,951.98","91.67M","-0.22%"
"05/07/1999","11,031.59","10,947.11","11,033.88","10,933.65","91.89M","0.77%"
"05/06/1999","10,946.82","10,949.73","10,980.04","10,852.32","118.31M","-0.08%"
"05/05/1999","10,955.42","10,883.54","10,955.41","10,775.86","110.84M","0.64%"
"05/04/1999","10,886.12","11,014.69","11,035.31","10,868.36","105.90M","-1.17%"
"05/03/1999","11,014.69","10,789.04","11,014.69","10,756.11","94.52M","2.09%"
"04/30/1999","10,789.04","10,876.95","10,961.71","10,654.73","122.04M","-0.82%"
"04/29/1999","10,878.38","10,844.78","10,928.21","10,834.86","104.67M","0.30%"
"04/28/1999","10,845.45","10,831.99","10,935.37","10,811.09","99.54M","0.13%"
"04/27/1999","10,831.71","10,719.16","10,847.74","10,719.16","103.39M","1.06%"
"04/26/1999","10,718.59","10,689.67","10,729.19","10,649.86","86.86M","0.27%"
"04/23/1999","10,689.67","10,726.04","10,754.67","10,646.71","106.99M","-0.35%"
"04/22/1999","10,727.18","10,580.62","10,753.81","10,580.05","107.78M","1.38%"
"04/21/1999","10,581.42","10,448.96","10,581.42","10,420.77","95.18M","1.27%"
"04/20/1999","10,448.55","10,440.53","10,496.37","10,333.15","113.40M","0.08%"
"04/19/1999","10,440.53","10,493.89","10,765.74","10,404.87","145.00M","-0.51%"
"04/16/1999","10,493.89","10,463.56","10,520.01","10,386.61","113.56M","0.30%"
"04/15/1999","10,462.72","10,411.66","10,500.74","10,378.63","137.10M","0.49%"
"04/14/1999","10,411.66","10,394.73","10,526.54","10,367.81","107.23M","0.16%"
"04/13/1999","10,395.01","10,340.62","10,418.87","10,316.47","88.69M","0.54%"
"04/12/1999","10,339.51","10,174.11","10,340.62","10,096.69","84.54M","1.63%"
"04/09/1999","10,173.83","10,197.70","10,212.13","10,094.47","79.95M","-0.23%"
"04/08/1999","10,197.70","10,086.42","10,209.08","10,059.78","91.21M","1.11%"
"04/07/1999","10,085.31","9,963.49","10,089.75","9,955.16","95.47M","1.22%"
"04/06/1999","9,963.49","10,004.84","10,030.37","9,915.76","74.90M","-0.44%"
"04/05/1999","10,007.33","9,836.12","10,023.15","9,836.12","71.12M","1.78%"
"04/01/1999","9,832.50","9,786.44","9,840.00","9,765.63","68.32M","0.47%"
"03/31/1999","9,786.16","9,914.37","10,002.34","9,781.45","111.74M","-1.28%"
"03/30/1999","9,913.26","10,003.84","10,003.84","9,874.41","74.21M","-0.93%"
"03/29/1999","10,006.78","9,821.61","10,040.36","9,821.61","69.04M","1.88%"
